User_ID,Age,Gender,Education_Level,Employment_Status,Household_Income,Location_Type,Basic_Computer_Knowledge_Score,Internet_Usage_Score,Mobile_Literacy_Score,Post_Training_Basic_Computer_Knowledge_Score,Post_Training_Internet_Usage_Score,Post_Training_Mobile_Literacy_Score,Modules_Completed,Average_Time_Per_Module,Quiz_Performance,Session_Count,Engagement_Level,Adaptability_Score,Feedback_Rating,Skill_Application,Employment_Impact,Overall_Literacy_Score
U0001,43,Male,Primary,Student,Medium,Semi-Rural,25,1,33,54,50,72,7,15.85,92,12,Low,77,4,51,Yes,58.2
U0002,60,Female,High School,Farmer,Low,Rural,22,14,35,52,39,76,9,22.24,88,24,Low,76,4,98,Yes,55.3
U0003,47,Female,Primary,Farmer,Low,Semi-Rural,14,31,14,46,52,61,13,12.15,67,17,Low,67,5,75,Yes,52.3
U0004,34,Female,Secondary,Farmer,Low,Rural,6,32,17,36,73,64,8,25.59,69,28,Medium,59,1,61,Yes,55.5
U0005,50,Male,High School,Other,Medium,Rural,14,41,19,44,87,52,8,16.65,76,10,Medium,90,4,82,No,59.3
U0006,57,Female,High School,Self-Employed,Low,Rural,15,3,46,42,29,73,12,29.85,66,25,Low,87,2,75,No,47.4
U0007,46,Other,Secondary,Unemployed,Low,Semi-Rural,35,34,49,81,59,94,6,24.54,61,23,Medium,79,3,93,No,78.3
U0008,36,Male,High School,Unemployed,Low,Rural,19,48,46,39,70,76,10,24.12,86,22,Low,81,5,70,Yes,59.4
U0009,64,Male,High School,Other,Low,Rural,33,10,37,69,38,81,7,15.68,65,24,Medium,78,2,75,No,63.3
U0010,61,Female,High School,Self-Employed,Medium,Rural,50,18,20,86,42,44,14,12.19,80,17,Low,64,3,95,Yes,60.2
U0011,28,Male,None,Other,Low,Rural,40,19,50,79,40,82,14,20.05,89,16,Low,100,2,55,No,68.2
U0012,31,Female,Secondary,Self-Employed,Low,Semi-Rural,9,50,45,53,92,77,5,10.95,80,13,Medium,98,4,87,No,71.9
U0013,24,Female,Primary,Student,Low,Rural,10,42,41,60,66,66,9,27.36,88,21,Medium,67,3,72,No,63.6
