"","alcohol","malic_acid","ash","alcalinity_of_ash","magnesium","total_phenols","flavanoids","nonflavanoid_phenols","proanthocyanins","color_intensity","hue","Od_280_235","proline","target"
"1",14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,0
"2",13.2,1.78,2.14,11.2,NA,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,0
"3",13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,NA,3.17,1185,0
"4",14.37,1.95,2.5,16.8,113,3.85,NA,0.24,2.18,7.8,0.86,3.45,1480,0
"5",13.24,NA,2.87,21,NA,2.8,2.69,0.39,1.82,NA,1.04,2.93,735,0
"6",14.2,NA,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,NA,2.85,1450,0
"7",14.39,NA,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,NA,3.58,1290,0
"8",14.06,NA,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,0
"9",14.83,1.64,2.17,14,97,2.8,2.98,0.29,1.98,5.2,NA,2.85,1045,0
"10",13.86,1.35,2.27,16,98,2.98,3.15,0.22,1.85,7.22,NA,NA,1045,0
"11",14.1,2.16,2.3,18,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,0
"12",14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,NA,NA,2.82,1280,0
"13",13.75,1.73,2.41,16,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,0
"14",14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,0
"15",14.38,1.87,NA,12,102,3.3,3.64,0.29,2.96,NA,NA,3,1547,0
"16",13.63,NA,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,NA,2.88,1310,0
"17",14.3,1.92,2.72,20,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,0
"18",13.83,1.57,2.62,20,115,2.95,3.4,0.4,1.72,NA,1.13,2.57,1130,0
"19",14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,0
"20",13.64,NA,2.56,15.2,116,2.7,3.03,0.17,1.66,NA,0.96,3.36,845,0
"21",14.06,1.63,2.28,16,126,3,3.17,0.24,2.1,5.65,1.09,3.71,780,0
"22",12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,NA,1.03,3.52,770,0
"23",13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4,1035,0
"24",12.85,1.6,NA,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,0
"25",13.5,1.81,2.61,20,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,0
"26",13.05,2.05,3.22,25,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,0
"27",13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,0
"28",13.3,1.72,2.14,17,94,2.4,2.19,0.27,1.35,3.95,NA,2.77,1285,0
"29",13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,NA,NA,3.4,915,0
"30",14.02,1.68,2.21,16,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,0
"31",13.73,1.5,2.7,22.5,101,3,3.25,0.29,2.38,5.7,1.19,2.71,1285,0
"32",13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,0
"33",13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,NA,1.23,NA,990,0
"34",13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3,1235,0
"35",13.51,1.8,2.65,19,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,0
"36",13.48,NA,2.41,20.5,100,2.7,2.98,0.26,1.86,NA,1.04,3.47,920,0
"37",13.28,1.64,NA,15.5,110,2.6,2.68,0.34,1.36,NA,1.09,2.78,880,0
"38",13.05,1.65,2.55,18,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,0
"39",13.07,NA,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,0
"40",14.22,NA,2.51,13.2,128,3,3.04,0.2,2.08,NA,0.89,3.53,760,0
"41",13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,NA,0
"42",13.41,3.84,NA,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3,NA,0
"43",13.88,1.89,2.59,15,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,0
"44",13.24,NA,2.29,17.5,NA,2.64,2.63,0.32,1.66,4.36,0.82,3,680,0
